"provincia";"partido";"nombre";"nombre_foto"
"BURGOS";"PP";"Marta Arroyo Ortega";"01_marta_arroyo_ortega_pp_burgos.jpg"
"BURGOS";"PP";"Alejandro Vázquez Ramos";"02_alejandro_vazquez_ramos_pp_burgos.jpg"
"BURGOS";"PP";"Belén Vélez Puente";"03_belen _velez_puente_pp_burgos.jpg"
"BURGOS";"PP";"Luis Alberto Rasero San Martín";"04_luis_alberto_rasero_san_martin_pp_burgos.jpg"
"BURGOS";"PP";"María del Carmen Santillana del Río";"05_maría_del_carmen_santillana_del_rio_pp_burgos.jpg"
"BURGOS";"PP";"Adrián Serna del Pozo";"06_adrián_serna_del_pozo_pp_burgos.jpg"
"BURGOS";"PSOE";"Daniel de la Rosa";"01_daniel_de_la_rosa_psoe_burgos.jpg"
"BURGOS";"PSOE";"Virginia Jiménez";"02_virginia_jimenez_psoe_burgos.jpg"
"BURGOS";"PSOE";"Luis Briones";"03_luis_briones_psoe_burgos .JPG.jpg"
"BURGOS";"PSOE";"Aida Estrella Paredes";"04_aida_estrella_psoe_paredes_burgos.jpg"
"BURGOS";"PSOE";"David Sainz-Aja";"05_david_sainz-aja_psoe_burgos.jpg"
"BURGOS";"VOX";"Iñaki Sicilia";"01_inaki_sicilia_vox_burgos.jpg"
"BURGOS";"VOX";"Marta Alegría";"02_marta_alegria_vox_burgos.jpg"
"BURGOS";"VOX";"Javier Martínez";"03_javier_martinez_vox_burgos_.jpg"
"LEÓN";"PSOE";"Nuria Rubio";"01_nuria_rubio_psoe_leon.jpg"
"LEÓN";"PSOE";"Mario Rivas";"02_mario_rivas_psoe_leon.jpg"
"LEÓN";"PSOE";"María Isabel Fernández";"03_maria_isabel_fernadez_psoe_leon.jpg"
"LEÓN";"PSOE";"Benjamín Fernández Martínez";"04_benjamin__fernandez_martinez_psoe_leon.jpg"
"LEÓN";"PSOE";"Silvia María Cao Fornís";"05_silvia_maria_cao_fornis_psoe_leon.jpg"
"LEÓN";"UPL";"Alicia Gallego González";"01_alicia_gallego_gonzalez_upl_leon.jpg"
"LEÓN";"UPL";"Luis Mariano Santos Reyero";"02_luis_mariano_santos_reyero_upl_leon.jpg"
"LEÓN";"UPL";"Rosa María Quintanilla González";"03_rosa_maría_quintanilla_gonzalez_upl_leon.jpg"
"LEÓN";"UPL";"Antonio Luis Carballo González";"04_antonio_luis_carballo_gonzalez_upl_leon.jpg"
"LEÓN";"UPL";"Lara Pintor Cascón";"05_lara_pintor_cascon.jpg"
"PALENCIA";"PP";"Mercedes Cófreces Martín";"01_mercedes_cofreces_martin_pp_palencia.jpg"
"PALENCIA";"PP";"Carlos Fernández Carriedo";"02_carlos_fernandez_carriedo_pp_palencia.jpg"
"PALENCIA";"PP";"Ana San Millán Vallejo";"03_ana_san_millan_vallejo_pp_palencia.jpg"
"PALENCIA";"PP";"Luis Miguel Medina Delgado";"04_luis_miguel_medina_delgado_pp_palencia.jpg"
"PALENCIA";"PP";"Anabel García Arristín";"05_anabel_garcía_arristin_pp_palencia.jpg"
"PALENCIA";"PSOE";"Miguel Ángel Blanco";"01_miguel_angel_blanco_psoe_palencia.jpg"
"PALENCIA";"PSOE";"Pilar García";"02_pilar_garcia_psoe_palencia.jpg"
