provincia;partido;nombre;nombre_foto
SALAMANCA;PP;Alfonso Fernández Mañueco;01_alfonso_fernandez_mañueco_pp_salamanca_.jpg
AVILA;PP;Cristina Sanchidrián;01_cristina_sanchidrian_pp_avila.jpg
AVILA;PP;David Beltrán;02_david_beltran_pp_avila.jpg
AVILA;PP;María Ángeles Prieto;03_maría_angeles_prieto_pp_avila.jpg
BURGOS;PP;Marta Arroyo Ortega;01_marta_arroyo_ortega_pp_burgos.jpg
BURGOS;PP;Alejandro Vázquez Ramos;02_alejandro_vazquez_ramos_pp_burgos.jpg
BURGOS;PP;Belén Vélez Puente;03_belen _velez_puente_pp_burgos.jpg
BURGOS;PP;Luis Alberto Rasero San Martín;04_luis_alberto_rasero_san_martin_pp_burgos.jpg
BURGOS;PP;María del Carmen Santillana del Río;05_maría_del_carmen_santillana_del_rio_pp_burgos.jpg
LEON;PP;María José Álvarez Casais;01_maria_jose_alvarez_casais_pp_leon.jpg
LEON;PP;Neftalí Fernández;02_neftali_fernandez_pp_leon.jpg
LEON;PP;Elena Bollo;03_elena_bollo_pp_leon.jpg
LEON;PP;Antonio Mendoza;04_antonio_mendoza_pp_leon.jpg
PALENCIA;PP;Mercedes Cófreces Martín;01_mercedes_cofreces_martin_pp_palencia.jpg
PALENCIA;PP;Carlos Fernández Carriedo;02_carlos_fernandez_carriedo_pp_palencia.jpg
PALENCIA;PP;Ana San Millán Vallejo;03_ana_san_millan_vallejo_pp_palencia.jpg
SALAMANCA;PP;Rosa María Esteban Ayuso;02_rosa_maria_esteban_ayuso_pp_salamanca.jpg
SALAMANCA;PP;Ángel Porras de la Fuente;03_angel_porras_de_la_fuente_pp_salamanca.jpg
SALAMANCA;PP;María del Carmen Sánchez Bellota;04_maria_del_armen_sanchez_bellota_pp_salamanca.jpg
SALAMANCA;PP;Raúl Hernández López;05_raul_hernandez_lopez_pp_salamanca.jpg
SEGOVIA;PP;Francisco Vázquez;01_francisco _vazquez_pp_segovia.jpg
SEGOVIA;PP;Elena Rincón;02_elena_rincon_pp_segovia.jpg
SEGOVIA;PP;José Luis Sanz Merino;03_jose_luis_sanz_merino_pp_segovia.jpg
SORIA;PP;Rocío Lucas;01_rocio_lucas_pp_soria.jpg
VALLADOLID;PP;María Pardo;01_maria_pardo_pp_valladolid.jpg
VALLADOLID;PP;José María Eiros;02_jose_maria_eiros_pp_valladolid_.jpg
VALLADOLID;PP;Paloma Vallejo Quevedo;03_paloma_vallejo_quevedo_pp_valladolid.jpg
VALLADOLID;PP;Borja del Barrio Casado;04_borja_del_barrio_casado.jpg
VALLADOLID;PP;Noemí Rojo;05_noemi_rojo_pp_valladolid.jpg
VALLADOLID;PP;Víctor Alonso Monge;06_victor_alonso_monge_pp_valladolid.jpg
ZAMORA;PP;José Luis Barigón;02_jose_luis_barigon_pp_zamora.jpg
ZAMORA;PP;Isabel Blanco;03_isabel_blanco_pp_zamora.jpg
ZAMORA;PP;Leticia García;01_leticia_garcia_pp_zamora.jpg
SORIA;PSOE;Carlos Martínez;01_carlos_martinez_psoe_soria.jpg
AVILA;PSOE;Carmen Iglesias;01_carmen_iglesias_psoe_avila.jpg
AVILA;PSOE;Iván Zazo;02_ivan_zazo_psoe_avila.jpg
BURGOS;PSOE;Daniel de la Rosa;01_daniel_de_la_rosa_psoe_burgos.jpg
BURGOS;PSOE;Virginia Jiménez;02_virginia_jimenez_psoe_burgos.jpg
BURGOS;PSOE;Luis Briones;03_luis_briones_psoe_burgos .JPG.jpg
BURGOS;PSOE;Aída Estrella Paredes;04_aida_estrella_psoe_paredes_burgos.jpg
LEON;PSOE;Nuria Rubio;01_nuria_rubio_psoe_leon.jpg
